,Unnamed: 0,Unnamed: 0.1,Stim number,word,color,is congruent,Stim timestamp,key pressed,key timestamp,delta T,is correct
81,81,81,82,green,red,0,255.7406408502122,r,256.2805979179301,0.5399570677178929,1
82,82,82,83,green,green,1,258.2548204315614,g,259.0232713950052,0.7684509634437404,1
83,83,83,84,green,red,0,261.59072451234704,r,262.47790285264153,0.887178340294497,1
84,84,84,85,blue,yellow,0,265.0714269946139,y,266.3450661778326,1.2736391832187337,1
85,85,85,86,red,green,0,268.78549079960897,g,269.29959274706084,0.5141019474518771,1
86,86,86,87,yellow,blue,0,271.9603722842456,b,271.97477634289663,0.0144040586510527,1
87,87,87,88,blue,blue,1,274.64383440732644,b,275.6473852099122,1.003550802585778,1
88,88,88,89,blue,red,0,277.4205651225172,r,278.4355486830906,1.0149835605733983,1
89,89,89,90,yellow,blue,0,280.2253583299276,b,281.4107309707988,1.1853726408712646,1
90,90,90,91,red,yellow,0,283.5033467005765,y,284.50698241702736,1.0036357164508445,1
91,91,91,92,yellow,green,0,286.856816812106,g,287.796023768679,0.9392069565730026,1
92,92,92,93,green,blue,0,289.6181996806909,b,291.2843548860319,1.6661552053409991,1
93,93,93,94,red,blue,0,293.2250123197709,r,293.54278506869093,0.3177727489200492,0
94,94,94,95,blue,yellow,0,296.260269639518,y,296.7554045599085,0.4951349203905693,1
95,95,95,96,yellow,yellow,1,299.4310745290325,y,299.7706075409643,0.3395330119317918,1
96,96,96,97,blue,green,0,301.9360885580342,g,302.5244289895473,0.5883404315130747,1
97,97,97,98,red,blue,0,304.7530529514432,b,305.55306252451254,0.8000095730693602,1
98,98,98,99,yellow,green,0,308.0001802166535,g,309.7383637834647,1.7381835668111876,1
99,99,99,100,blue,yellow,0,311.9118530044759,y,313.51260949687355,1.600756492397636,1
100,100,100,101,green,red,0,315.52980972923734,r,318.47150816062367,2.941698431386328,1
101,101,101,102,green,blue,0,320.0561545028193,b,321.23424150074663,1.1780869979273234,1
102,102,102,103,red,yellow,0,322.9644240637862,y,324.9039233124522,1.9394992486659817,1
103,103,103,104,green,yellow,0,327.0076440750358,y,328.29135466789216,1.28371059285638,1
